CIE;DESCRIPCION
E00;SINDROME CONGENITO DE DEFICIENCIA DE YODO
E000;SINDROME CONGENITO DE DEFICIENCIA DE YODO, TIPO NEUROLOGICO
E001;SINDROME DE DEFICIENCIA CONGENITA DE YODO, TIPO MIXEDEMATOSO
E002;SINDROME CONGENITO DE DEFICIENCIA DE YODO, TIPO MIXTO
E009;SINDROME CONGENITO DE DEFICIENCIA DE YODO, NO ESPECIFICADO
E01;TRASTORNOS TIROIDEOS VINCULADOS A DEFICIENCIA DE YODO Y AFECCIONES RELACIONADAS
E010;BOCIO DIFUSO (ENDEMICO) RELACIONADO CON DEFICIENCIA DE YODO
E011;BOCIO MULTINODULAR (ENDEMICO) RELACIONADO CON DEFICIENCIA DE YODO
E012;BOCIO (ENDEMICO) RELACIONADO CON DEFICIENCIA DE YODO, NO ESPECIFICADO
E018;OTROS TRASTORNOS DE LA TIROIDES RELACIONADOS CON DEFICIENCIA DE YODO Y AFECCIONES SIMILARES
E02X;HIPOTIROIDISMO SUBCLINICO POR DEFICIENCIA DE YODO
E03;OTROS HIPOTIROIDISMOS
E030;HIPOTIROIDISMO CONGENITO CON BOCIO DIFUSO
E031;HIPOTIROIDISMO CONGENITO SIN BOCIO
E032;HIPOTIROIDISMO DEBIDO A MEDICAMENTOS Y A OTRAS SUSTANCIAS EXOGENAS
E033;HIPOTIROIDISMO POSTINFECCIOSO
E034;ATROFIA DE TIROIDES (ADQUIRIDA)
E035;COMA MIXEDEMATOSO
E038;OTROS HIPOTIROIDISMOS ESPECIFICADOS
E039;HIPOTIROIDISMO, NO ESPECIFICADO
E04;OTROS BOCIOS NO TOXICOS
E040;BOCIO DIFUSO NO TOXICO
E041;NODULO TIROIDEO SOLITARIO NO TOXICO
E042;BOCIO MULTINODULAR NO TOXICO
E048;OTROS BOCIOS NO TOXICOS ESPECIFICADOS
E049;BOCIO NO TOXICO, NO ESPECIFICADO
E05;TIROTOXICOSIS [HIPERTIROIDISMO]
E050;TIROTOXICOSIS CON BOCIO DIFUSO
E051;TIROTOXICOSIS CON NODULO SOLITARIO TIROIDEO TOXICO
E052;TIROTOXICOSIS CON BOCIO MULTINODULAR TOXICO
E053;TIROTOXICOSIS POR TEJIDO TIROIDEO ECTOPICO
E054;TIROTOXICOSIS FACTICIA
E055;CRISIS O TORMENTA TIROTOXICA
E058;OTRAS TIROTOXICOSIS
E059;TIROTOXICOSIS, NO ESPECIFICADA
E06;TIROIDITIS
E060;TIROIDITIS AGUDA
E061;TIROIDITIS SUBAGUDA
E062;TIROIDITIS CRONICA CON TIROTOXICOSIS TRANSITORIA
E063;TIROIDITIS AUTOINMUNE
E064;TIROIDITIS INDUCIDA POR DROGAS
E065;OTRAS TIROIDITIS CRONICAS
E069;TIROIDITIS, NO ESPECIFICADA
E07;OTROS TRASTORNOS TIROIDEOS
E070;HIPERSECRECION DE CALCITONINA
E071;BOCIO DISHORMOGENETICO
E078;OTROS TRASTORNOS ESPECIFICADOS DE LA GLANDULA TIROIDES
E079;TRASTORNO DE LA GLANDULA TIROIDES, NO ESPECIFICADO
E10;DIABETES MELLITUS TIPO 1
E100;DIABETES MELLITUS TIPO 1, CON COMA
E101;DIABETES MELLITUS TIPO 1, CON CETOACIDOSIS
E102;DIABETES MELLITUS TIPO 1, CON COMPLICACIONES RENALES
E103;DIABETES MELLITUS TIPO 1, CON COMPLICACIONES OFTALMICAS
E104;DIABETES MELLITUS TIPO 1, CON COMPLICACIONES NEUROLOGICAS
E105;DIABETES MELLITUS TIPO 1, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS
E106;DIABETES MELLITUS TIPO 1, CON OTRAS COMPLICACIONES ESPECIFICADAS
E107;DIABETES MELLITUS TIPO 1, CON COMPLICACIONES MULTIPLES
E108;DIABETES MELLITUS TIPO 1, CON COMPLICACIONES NO ESPECIFICADAS
E109;DIABETES MELLITUS TIPO 1, SIN MENCION DE COMPLICACION
E11;DIABETES MELLITUS TIPO 2
E110;DIABETES MELLITUS TIPO 2, CON COMA
E111;DIABETES MELLITUS TIPO 2, CON CETOACIDOSIS
E112;DIABETES MELLITUS TIPO 2, CON COMPLICACIONES RENALES
E113;DIABETES MELLITUS TIPO 2, CON COMPLICACIONES OFTALMICAS
E114;DIABETES MELLITUS TIPO 2, CON COMPLICACIONES NEUROLOGICAS
E115;DIABETES MELLITUS TIPO 2, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS
E116;DIABETES MELLITUS TIPO 2, CON OTRAS COMPLICACIONES ESPECIFICADAS
E117;DIABETES MELLITUS TIPO 2, CON COMPLICACIONES MULTIPLES
E118;DIABETES MELLITUS TIPO 2, CON COMPLICACIONES NO ESPECIFICADAS
E119;DIABETES MELLITUS TIPO 2, SIN MENCION DE COMPLICACION
E12;DIABETES MELLITUS ASOCIADA CON DESNUTRICION
E120;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMA
E121;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON CETOACIDOSIS
E122;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES RENALES
E123;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES OFTALMICAS
E124;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES NEUROLOGICAS
E125;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS
E126;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON OTRAS COMPLICACIONES ESPECIFICADAS
E127;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES MULTIPLES
E128;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES NO ESPECIFICADAS
E129;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, SIN MENCION DE COMPLICACION
E13;OTRAS DIABETES MELLITUS ESPECIFICADAS
E130;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMA
E131;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON CETOACIDOSIS
E132;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES RENALES
E133;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES OFTALMICAS
E134;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES NEUROLOGICAS
E135;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS
E136;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON OTRAS COMPLICACIONES ESPECIFICADAS
E137;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES MULTIPLES
E138;OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES NO ESPECIFICADAS
E139;OTRAS DIABETES MELLITUS ESPECIFICADAS, SIN MENCION DE COMPLICACION
E14;DIABETES MELLITUS, NO ESPECIFICADA
E140;DIABETES MELLITUS NO ESPECIFICADA, CON COMA
E141;DIABETES MELLITUS NO ESPECIFICADA, CON CETOACIDOSIS
E142;DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES RENALES
E143;DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES OFTALMICAS
E144;DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES NEUROLOGICAS
E145;DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS
E146;DIABETES MELLITUS NO ESPECIFICADA, CON OTRAS COMPLICACIONES ESPECIFICADAS
E147;DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES MULTIPLES
E148;DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES NO ESPECIFICADAS
E149;DIABETES MELLITUS NO ESPECIFICADA, SIN MENCION DE COMPLICACION
E15X;COMA HIPOGLICEMICO NO DIABETICO
E16;OTROS TRASTORNOS DE LA SECRECION INTERNA DEL PANCREAS
E160;HIPOGLICEMIA SIN COMA, INDUCIDA POR DROGAS
E161;OTRAS HIPOGLICEMIAS
E162;HIPOGLICEMIA, NO ESPECIFICADA
E163;SECRECION EXAGERADA DEL GLUCAGON
E164;SECRECION ANORMAL DE GASTRINA
E168;OTROS TRASTORNOS ESPECIFICADOS DE LA SECRECION INTERNA DEL PANCREAS
E169;TRASTORNOS DE LA SECRECION INTERNA DEL PANCREAS, SIN OTRA ESPECIFICACION
E20;HIPOPARATIROIDISMO
E200;HIPOPARATIROIDISMO IDIOPATICO
E201;PSEUDOHIPOPARATIROIDISMO
E208;OTROS TIPOS DE HIPOPARATIROIDISMO
E209;HIPOPARATIROIDISMO, NO ESPECIFICADO
E21;HIPERPARATIROIDISMO Y OTROS TRASTORNOS DE LA GLANDULA PARATIROIDES
E210;HIPERPARATIROIDISMO PRIMARIO
E211;HIPERPARATIROIDISMO SECUNDARIO NO CLASIFICADO EN OTRA PARTE
E212;OTROS TIPOS DE HIPERPARATIROIDISMO
E213;HIPERPARATIROIDISMO, SIN OTRA ESPECIFICACION
E214;OTROS TRASTORNOS ESPECIFICADOS DE LA GLANDULA PARATIROIDES
E215;TRASTORNO DE LA GLANDULA PARATIROIDES, NO ESPECIFICADO
E22;HIPERFUNCION DE LA GLANDULA HIPOFISIS
E220;ACROMEGALIA Y GIGANTISMO HIPOFISARIO
E221;HIPERPROLACTINEMIA
E222;SINDROME DE SECRECION INAPROPIADA DE HORMONA ANITIDIURETICA
E228;OTRAS HIPERFUNCIONES DE LA GLANDULA HIPOFISIS
E229;HIPERFUNCION DE LA GLANDULA HIPOFISIS, NO ESPECIFICADA
E23;HIPOFUNCION Y OTROS TRASTORNOS DE LA GLANDULA HIPOFISIS
E230;HIPOPITUITARISMO
E231;HIPOPITUITARISMO INDUCIDO POR DROGAS
E232;DIABETES INSIPIDA
E233;DISFUNCION HIPOTALAMICA, NO CLASIFICADA EN OTRA PARTE
E236;OTROS TRASTORNOS DE LA GLANDULA HIPOFISIS
E237;TRASTORNO DE LA GLANDULA HIPOFISIS, NO ESPECIFICADO
E24;SINDROME DE CUSHING
E240;ENFERMEDAD DE CUSHING DEPENDIENTE DE LA HIPOFISIS
E241;SINDROME DE NELSON
E242;SINDROME DE CUSHING INDUCIDO POR DROGAS
E243;SINDROME DE ACTH ECTOPICO
E244;SINDROME DE SEUDO-CUSHING INDUCIDO POR ALCOHOL
E248;OTROS TIPOS DE SINDROME DE CUSHING
E249;SINDROME DE CUSHING, NO ESPECIFICADO
E25;TRASTORNOS ADRENOGENITALES
E250;TRASTORNOS ADRENOGENITALES CONGENITOS CON DEFICIENCIA ENZIMATICA
E258;OTROS TRASTORNOS ADRENOGENITALES
E259;TRASTORNO ADRENOGENITAL, NO ESPECIFICADO
E26;HIPERALDOSTERONISMO
E260;HIPERALDOSTERONISMO PRIMARIO
E261;HIPERALDOSTERONISMO SECUNDARIO
E268;OTROS TIPOS DE HIPERALDOSTERONISMO
E269;HIPERALDOSTERONISMO, NO ESPECIFICADO
E27;OTROS TRASTORNOS DE LA GLANDULA SUPRARRENAL
E270;OTRA HIPERACTIVIDAD CORTICOSUPRARRENAL
E271;INSUFICIENCIA CORTICOSUPRARRENAL PRIMARIA
E272;CRISIS ADDISONIANA
E273;INSUFICIENCIA CORTICOSUPRARRENAL INDUCIDA POR DROGAS
E274;OTRAS INSUFICIENCIAS CORTICOSUPRARRENALES Y LAS NO ESPECIFICADAS
E275;HIPERFUNCION DE LA MEDULA SUPRARRENAL
E278;OTROS TRASTORNOS ESPECIFICADOS DE LA GLANDULA SUPRARRENAL
E279;TRASTORNO DE LA GLANDULA SUPRARRENAL, NO ESPECIFICADO
E28;DISFUNCION OVARICA
E280;EXCESO DE ESTROGENOS
E281;EXCESO DE ANDROGENOS
E282;SINDROME DE OVARIO POLIQUISTICO
E283;INSUFICIENCIA OVARICA PRIMARIA
E288;OTRAS DISFUNCIONES OVARICAS
E289;DISFUNCION OVARICA, NO ESPECIFICADA
E29;DISFUNCION TESTICULAR
E290;HIPERFUNCION TESTICULAR
E291;HIPOFUNCION TESTICULAR
E298;OTRAS DISFUNCIONES TESTICULARES
E299;DISFUNCION TESTICULAR, NO ESPECIFICADA
E30;TRASTORNOS DE LA PUBERTAD, NO CLASIFICADOS EN OTRA PARTE
E300;PUBERTAD RETARDADA
E301;PUBERTAD PRECOZ
E308;OTROS TRASTORNOS DE LA PUBERTAD
E309;TRASTORNO DE LA PUBERTAD, NO ESPECIFICADO
E31;DISFUNCION POLIGLANDULAR
E310;INSUFICIENCIA POLIGLANDULAR AUTOINMUNE
E311;HIPERFUNCION POLIGLANDULAR
E318;OTRAS DISFUNCIONES POLIGLANDULARES
E319;DISFUNCION POLIGLANDULAR, NO ESPECIFICADA
E32;ENFERMEDADES DEL TIMO
E320;HIPERPLASIA PERSISTENTE DEL TIMO
E321;ABSCESO DEL TIMO
E328;OTRAS ENFERMEDADES DEL TIMO
E329;ENFERMEDAD DEL TIMO, NO ESPECIFICADA
E34;OTROS TRASTORNOS ENDOCRINOS
E340;SINDROME CARCINOIDE
E341;OTRAS HIPERSECRECIONES DE HORMONAS INTESTINALES
E342;SECRECION HORMONAL ECTOPICA, NO CLASIFICADA EN OTRA PARTE
E343;ENANISMO, NO CLASIFICADO EN OTRA PARTE
E344;ESTATURA ALTA CONSTITUCIONAL
E345;SINDROME DE RESISTENCIA ANDROGENICA
E348;OTROS TRASTORNOS ENDOCRINOS ESPECIFICADOS
E349;TRASTORNO ENDOCRINO, NO ESPECIFICADO
E35;TRASTORNOS ENDOCRINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
E350;TRASTORNOS DE LA GLANDULA TIROIDES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
E351;TRASTORNOS DE LAS GLANDULAS SUPRARRENALES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
E358;TRASTORNOS DE OTRAS GLANDULAS ENDOCRINAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
E40X;KWASHIORKOR
E41X;MARASMO NUTRICIONAL
E42X;KWASHIORKOR MARASMATICO
E43X;DESNUTRICION PROTEICOCALORICA SEVERA, NO ESPECIFICADA
E44;DESNUTRICION PROTEICOCALORICA DE GRADO MODERADO Y LEVE
E440;DESNUTRICION PROTEICOCALORICA MODERADA
E441;DESNUTRICION PROTEICOCALORICA LEVE
E45X;RETARDO DEL DESARROLLO DEBIDO A DESNUTRICION PROTEICOCALORICA
E46X;DESNUTRICION PROTEICOCALORICA, NO ESPECIFICADA
E50;DEFICIENCIA DE VITAMINA A
E500;DEFICIENCIA DE VITAMINA A CON XEROSIS CONJUNTIVAL
E501;DEFICIENCIA DE VITAMINA A CON MANCHA DE BITOT Y XEROSIS CONJUNTIVAL
E502;DEFICIENCIA DE VITAMINA A CON XEROSIS CORNEAL
E503;DEFICIENCIA DE VITAMINA A CON ULCERACION CORNEAL Y XEROSIS
E504;DEFICIENCIA DE VITAMINA A CON QUERATOMALACIA
E505;DEFICIENCIA DE VITAMINA A CON CEGUERA NOCTURNA
E506;DEFICIENCIA DE VITAMINA A CON CICATRICES XEROFTALMICAS DE LA CORNEA
E507;OTRAS MANIFESTACIONES OCULARES DE DEFICIENCIA DE VITAMINA A
E508;OTRAS MANIFESTACIONES DE DEFICIENCIA DE VITAMINA A
E509;DEFICIENCIA DE VITAMINA A, NO ESPECIFICADA
E51;DEFICIENCIA DE TIAMINA
E511;BERIBERI
E512;ENCEFALOPATIA DE WERNICKE
E518;OTRAS MANIFESTACIONES DE LA DEFICIENCIA DE TIAMINA
E519;DEFICIENCIA DE TIAMINA, NO ESPECIFICADA
E52X;DEFICIENCIA DE NIACINA [PELAGRA]
E53;DEFICIENCIAS DE OTRAS VITAMINAS DEL GRUPO B
E530;DEFICIENCIA DE RIBOFLAVINA
E531;DEFICIENCIA DE PIRIDOXINA
E538;DEFICIENCIA DE OTRAS VITAMINAS DEL GRUPO B
E539;DEFICIENCIA DE VITAMINA B, NO ESPECIFICADA
E54X;DEFICIENCIA DE ACIDO ASCORBICO
E55;DEFICIENCIA DE VITAMINA D
E550;RAQUITISMO ACTIVO
E559;DEFICIENCIA DE VITAMINA D, NO ESPECIFICADA
E56;OTRAS DEFICIENCIAS DE VITAMINAS
E560;DEFICIENCIA DE VITAMINA E
E561;DEFICIENCIA DE VITAMINA K
E568;DEFICIENCIA DE OTRAS VITAMINAS
E569;DEFICIENCIA DE VITAMINA, NO ESPECIFICADA
E58X;DEFICIENCIA DIETETICA DE CALCIO
E59X;DEFICIENCIA DIETETICA DE SELENIO
E60X;DEFICIENCIA DIETETICA DE ZINC
E61;DEFICIENCIAS DE OTROS ELEMENTOS NUTRICIONALES
E610;DEFICIENCIA DE COBRE
E611;DEFICIENCIA DE HIERRO
E612;DEFICIENCIA DE MAGNESIO
E613;DEFICIENCIA DE MANGANESO
E614;DEFICIENCIA DE CROMO
E615;DEFICIENCIA DE MOLIBDENO
E616;DEFICIENCIA DE VANADIO
E617;DEFICIENCIA DE MULTIPLES ELEMENTOS NUTRICIONALES
E618;DEFICIENCIA DE OTROS ELEMENTOS NUTRICIONALES ESPECIFICADOS
E619;DEFICIENCIA DE OTRO ELEMENTO NUTRICIONAL, NO ESPECIFICADO
E63;OTRAS DEFICIENCIAS NUTRICIONALES
E630;DEFICIENCIA DE ACIDOS GRASOS ESENCIALES [AGE]
E631;DESEQUILIBRIO DE LOS CONSTITUYENTES EN LA DIETA
E638;OTRAS DEFICIENCIAS NUTRICIONALES ESPECIFICADAS
E639;DEFICIENCIA NUTRICIONAL, NO ESPECIFICADA
E64;SECUELAS DE LA DESNUTRICION Y DE OTRAS DEFICIENCIAS NUTRICIONALES
E640;SECUELAS DE LA DESNUTRICION PROTEICOCALORICA
E641;SECUELAS DE LA DEFICIENCIA DE VITAMINA A
E642;SECUELAS DE LA DEFICIENCIA DE VITAMINA C
E643;SECUELAS DEL RAQUITISMO
E648;SECUELAS DE OTRAS DEFICIENCIAS NUTRICIONALES
E649;SECUELAS DE LA DEFICIENCIA NUTRICIONAL NO ESPECIFICADA
E65X;ADIPOSIDAD LOCALIZADA
E66;OBESIDAD
E660;OBESIDAD DEBIDA A EXCESO DE CALORIAS
E661;OBESIDAD INDUCIDA POR DROGAS
E662;OBESIDAD EXTREMA CON HIPOVENTILACION ALVEOLAR
E668;OTROS TIPOS DE OBESIDAD
E669;OBESIDAD, NO ESPECIFICADA
E67;OTROS TIPOS DE HIPERALIMENTACION
E670;HIPERVITAMINOSIS A
E671;HIPERCAROTINEMIA
E672;SINDROME DE MEGAVITAMINA B6
E673;HIPERVITAMINOSIS D
E678;OTROS TIPOS DE HIPERALIMENTACION ESPECIFICADOS
E68X;SECUELAS DE HIPERALIMENTACION
E70;TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS
E700;FENILCETONURIA CLASICA
E701;OTRAS HIPERFENILALANINEMIAS
E702;TRASTORNOS DEL METABOLISMO DE LA TIROSINA
E703;ALBINISMO
E708;OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS
E709;TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS, NO ESPECIFICADO
E71;TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS DE CADENA RAMIFICADA Y DE LOS ACIDOS GRASOS
E710;ENFERMEDAD DE LA ORINA EN JARABE DE ARCE
E711;OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS DE CADENA RAMIFICADA
E712;OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS DE CADENA RAMIFICADA, NO ESPECIFICADOS
E713;TRASTORNOS DEL METABOLISMO DE LOS ACIDOS GRASOS
E72;OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS
E720;TRASTORNOS DEL TRANSPORTE DE LOS AMINOACIDOS
E721;TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AZUFRADOS
E722;TRASTORNOS DEL METABOLISMO DEL CICLO DE LA UREA
E723;TRASTORNOS DEL METABOLISMO DE LA LISINA Y LA HIDROXILISINA
E724;TRASTORNOS DEL METABOLISMO DE LA ORNITINA
E725;TRASTORNOS DEL METABOLISMO DE LA GLICINA
E728;OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS AMINOACIDOS
E729;TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS, NO ESPECIFICADO
E73;INTOLERANCIA A LA LACTOSA
E730;DEFICIENCIA CONGENITA DE LACTASA
E731;DEFICIENCIA SECUNDARIA DE LACTASA
E738;OTROS TIPOS DE INTOLERANCIA A LA LACTOSA
E739;INTOLERANCIA A LA LACTOSA, NO ESPECIFICADA
E74;OTROS TRASTORNOS DEL METABOLISMO DE LOS CARBOHIDRATOS
E740;ENFERMEDAD DEL ALMACENAMIENTO DE GLUCOGENO
E741;TRASTORNOS DEL METABOLISMO DE LA FRUCTOSA
E742;TRASTORNO DEL METABOLISMO DE LA GALACTOSA
E743;OTROS TRASTORNOS DE LA ABSORCION INTESTINAL DE CARBOHIDRATOS
E744;TRASTORNOS DEL METABOLISMO DEL PIRUVATO Y DE LA GLUCONEOGENESIS
E748;OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS CARBOHIDRATOS
E749;TRASTORNO DEL METABOLISMO DE LOS CARBOHIDRATOS, NO ESPECIFICADO
E75;TRASTORNOS DEL METABOLISMO DE LOS ESFINGOLIPIDOS Y OTROS TRASTORNOS POR ALMACENAMIENTO DE LIPIDOS
E750;GANGLIOSIDOSIS GM2
E751;OTRAS GANGLIOSIDOSIS
E752;OTRAS ESFINGOLIPIDOSIS
E753;ESFINGOLIPIDOSIS, NO ESPECIFICADA
E754;LIPOFUSCINOSIS CEROIDE NEURONAL
E755;OTROS TRASTORNOS DEL ALMACENAMIENTO DE LIPIDOS
E756;TRASTORNO DEL ALMACENAMIENTO DE LIPIDOS, NO ESPECIFICADO
E76;TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS
E760;MUCOPOLISACARIDOSIS TIPO I
E761;MUCOPOLISACARIDOSIS TIPO II
E762;OTRAS MUCOPOLISACARIDOSIS
E763;MUCOPOLISACARIDOSIS NO ESPECIFICADA
E768;OTROS TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS
E769;TRASTORNO DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS, NO ESPECIFICADO
E77;TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS
E770;DEFECTOS EN LA MODIFICACION POSTRASLACIONAL DE ENZIMAS LISOSOMALES
E771;DEFECTOS DE LA DEGRADACION DE GLUCOPROTEINAS
E778;OTROS TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS
E779;TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS, NO ESPECIFICADO
E78;TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS Y OTRAS LIPIDEMIAS
E780;HIPERCOLESTEROLEMIA PURA
E781;HIPERGLICERIDEMIA PURA
E782;HIPERLIPIDEMIA MIXTA
E783;HIPERQUILOMICRONEMIA
E784;OTRA HIPERLIPIDEMIA
E785;HIPERLIPIDEMIA NO ESPECIFICADA
E786;DEFICIENCIA DE LIPOPROTEINAS
E788;OTROS TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS
E789;TRASTORNO DEL METABOLISMO DE LAS LIPOPROTEINAS, NO ESPECIFICADO
E79;TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS
E790;HIPERURICEMIA SIN SIGNOS DE ARTRITIS INFLAMATORIA Y ENFERMEDAD TOFACEA
E791;SINDROME DE LESCH-NYHAN
E798;OTROS TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS
E799;TRASTORNO DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS, NO ESPECIFICADO
E80;TRASTORNOS DEL METABOLISMO DE LAS PORFIRINAS Y DE LA BILIRRUBINA
E800;PORFIRIA ERITROPOYETICA HEREDITARIA
E801;PORFIRIA CUTANEA TARDIA
E802;OTRAS PORFIRIAS
E803;DEFECTOS DE CATALASA Y PEROXIDASA
E804;SINDROME DE GILBERT
E805;SINDROME DE CRIGLER-NAJJAR
E806;OTROS TRASTORNOS DEL METABOLISMO DE LA BILIRRUBINA
E807;TRASTORNO DEL METABOLISMO DE LA BILIRRUBINA, NO ESPECIFICADO
E83;TRASTORNOS DEL METABOLISMO DE LOS MINERALES
E830;TRASTORNOS DEL METABOLISMO DEL COBRE
E831;TRASTORNOS DEL METABOLISMO DEL HIERRO
E832;TRASTORNOS DEL METABOLISMO DEL ZINC
E833;TRASTORNOS DEL METABOLISMO DEL FOSFORO Y FOSFATASA
E834;TRASTORNOS DEL METABOLISMO DEL MAGNESIO
E835;TRASTORNOS DEL METABOLISMO DEL CALCIO
E838;OTROS TRASTORNOS DEL METABOLISMO DE LOS MINERALES
E839;TRASTORNO DEL METABOLISMO DE LOS MINERALES, NO ESPECIFICADO
E84;FIBROSIS QUISTICA
E840;FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES
E841;FIBROSIS QUISTICA CON MANIFESTACIONES INTESTINALES
E848;FIBROSIS QUISTICA CON OTRAS MANIFESTACIONES
E849;FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION
E85;AMILOIDOSIS
E850;AMILOIDOSIS HEREDOFAMILIAR NO NEUROPATICA
E851;AMILOIDOSIS HEREDOFAMILIAR NEUROPATICA
E852;AMILOIDOSIS HEREDOFAMILIAR NO ESPECIFICADA
E853;AMILOIDOSIS SISTEMICA SECUNDARIA
E854;AMILOIDOSIS LIMITADA A UN ORGANO
E858;OTRAS AMILOIDOSIS
E859;AMILOIDOSIS, NO ESPECIFICADA
E86X;DEPLECION DEL VOLUMEN
E87;OTROS TRASTORNOS DE LOS LIQUIDOS, DE LOS ELECTROLITOS Y DEL EQUILIBRIO ACIDO-BASICO
E870;HIPEROSMOLARIDAD E HIPERNATREMIA
E871;HIPOSMOLARIDAD E HIPONATREMIA
E872;ACIDOSIS
E873;ALCALOSIS
E874;TRASTORNOS MIXTOS DEL BALANCE ACIDO-BASICO
E875;HIPERPOTASEMIA
E876;HIPOPOTASMIA
E877;SOBRECARGA DE LIQUIDOS
E878;OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTROLITOS Y DE LOS LIQUIDOS, NO CLASIFICADOS EN OTRA PARTE
E88;OTROS TRASTORNOS METABOLICOS
E880;TRASTORNOS DEL METABOLISMO DE LAS PROTEINAS PLASMATICAS, NO CLASIFICADOS EN OTRA PARTE
E881;LIPODISTROFIA, NO CLASIFICADA EN OTRA PARTE
E882;LIPOMATOSIS, NO CLASIFICADA EN OTRA PARTE
E883;SINDROME DE LISIS TUMORAL
E888;OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO
E889;TRASTORNO METABOLICO, NO ESPECIFICADO
E89;TRASTORNOS ENDOCRINOS Y METABOLICOS CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
E890;HIPOTIROIDISMO CONSECUTIVO A PROCEDIMIENTOS
E891;HIPOINSULINEMIA CONSECUTIVA A PROCEDIMIENTOS
E892;HIPOPARATIROIDISMO CONSECUTIVO A PROCEDIMIENTOS
E893;HIPOPITUITARISMO CONSECUTIVO A PROCEDIMIENTOS
E894;INSUFICIENCIA OVARICA CONSECUTIVA A PROCEDIMIENTOS
E895;HIPOFUNCION TESTICULAR CONSECUTIVA A PROCEDIMIENTOS
